"Sequence No." "V" "D" "air density" "Humidity" "I" "S_a" "S_b" "y (% relative to rated power)"
"1" 4.550075 214.8607 1.29569191539405 82.412907 0.0724695966550002 0.00550573496135181 0.107216195093587 5.08666666666667
"2" 4.274251 222.0099 1.29563160353176 82.786235 0.0758893429515487 0.0103061561670254 0.00525416046868788 3.09666666666667
"3" 4.997228 256.3029 1.29329640100371 86.820626 0.0593670330831413 0.032456181775581 0.0117949280824385 6.30666666666667
"4" 4.667417 262.7713 1.29333539519034 86.576437 0.0898214151424653 0.0582171180654797 0.019196209085729 3.22
"5" 4.685268 258.1028 1.2929415579232 86.379654 0.054825913907166 0.0215438349326718 0.0227434968547137 2.00333333333333
"6" 4.50199 264.5803 1.29297788025394 86.587942 0.072880081919329 0.0185100601289105 0.014482181695883 2.96333333333333
"7" 4.288622 316.0534 1.29570282882163 87.016218 0.0978712509519375 0.0506880001341127 0.189476933904108 1.55
"8" 4.562794 333.7228 1.28914362943328 81.082257 0.0492146916998664 0.00399571489695384 0.0491743314800275 4.14666666666667
"9" 4.258228 331.8207 1.28893724162362 80.196546 0.0611068265954759 0.00201960415772624 0.0548965820120463 1.90666666666667
"10" 4.264082 331.3544 1.28859938973195 79.999769 0.0517586434782446 0.046126032035395 0.053558483662897 2.33333333333333
"11" 4.157968 334.5765 1.28805667167474 79.365587 0.0675756042374544 0.0676612068790827 0.0494787017482171 3.04333333333333
"12" 4.132273 332.6029 1.2877333080679 79.673256 0.0393352520513529 0.000904837685880956 0.0442017572627272 1.88
"13" 4.142955 338.2331 1.28665882097667 79.968027 0.039752809287091 0.0099178402774724 0.0718029189994156 3.17666666666667
"14" 4.45028 337.5266 1.28691171855295 79.812509 0.0490719010938638 0.0277798147211151 0.0383675235708973 4.04333333333333
"15" 4.207817 337.6972 1.28671138398862 80.075939 0.0651296384800004 0.0512380363191426 0.0349288854534749 5.79
"16" 4.285045 337.3116 1.28692917827156 80.853541 0.076976204450595 0.132482725118754 0.0422179828920579 4.10333333333333
"17" 3.74886 333.4804 1.2864260484467 81.107649 0.0605661721163234 0.0926498486345425 0.00644386105080119 2.31333333333333
"18" 4.093892 331.2709 1.28631980442664 81.715246 0.0575190063636266 0.0381164692118312 0.0623916630965313 3.29
"19" 4.296481 316.0174 1.28611972399765 83.467623 0.0345058432703415 0.043356915817424 0.0527431309149496 1.81
"20" 4.753675 320.6419 1.28618320958153 83.986553 0.0779544247345475 0.00571048741031915 0.0436062004487451 1.47333333333333
"21" 5.398686 327.8487 1.28637881684519 84.690359 0.0681044980204442 0.0497204672542358 0.0454978051639316 4.24
"22" 5.141499 325.2694 1.28581187654907 85.124786 0.0920737123550933 0.0908101126551393 0.0692636592790933 9.24333333333333
"23" 7.017973 333.4055 1.28956355418837 85.333267 0.078580182625382 0.0228406336143837 0.0165448821287577 26.06
"24" 4.456503 275.4926 1.28834555831904 85.065869 0.0581139068009154 0.0324358192440212 0.0697197919441916 2.21333333333333
"25" 4.652885 287.708 1.28737753459658 86.576239 0.0603544037731429 0.0205015412041536 0.0473125678372226 4.36666666666667
"26" 4.583949 301.3729 1.28688155235472 86.683158 0.0800204147122928 0.0540056842867794 0.031222149957184 2.32333333333333
"27" 6.743705 321.9407 1.28524043654424 85.81768 0.0654963703186898 0.126696556699439 0.105757278166622 7.92666666666667
"28" 5.666281 25.47059 1.29144281227577 86.89422 0.0816244199678766 0.128126126613032 0.0200610619016388 4.72666666666667
"29" 5.52934 19.54445 1.29099802176411 85.930353 0.0980489714866512 0.11817664956975 0.0637373693148034 5.13666666666667
"30" 5.111442 22.99854 1.29032355032811 86.591114 0.076176722733037 0.05231791877518 0.0159878632428234 7.48333333333333
"31" 5.181741 22.80782 1.29023715517651 87.34154 0.0762860976648582 0.0335591374273549 0.0545875068689474 6.52666666666667
"32" 4.676431 23.17814 1.28993657384094 87.984647 0.0681079438571851 0.0556382887930448 0.118439830439715 4.05
"33" 4.189228 26.85999 1.28996749964944 88.562887 0.0886324878951444 0.0889004958077388 0.0613450134464079 2.32666666666667
"34" 4.582153 29.03337 1.29016133967729 88.9745 0.104785086835817 0.0462102755434376 0.0413418338080011 1.67333333333333
"35" 4.665957 28.93754 1.29185620439361 86.230681 0.153195539521689 0.271277633566627 0.102252817734126 2.18333333333333
"36" 4.772857 24.71887 1.29040136427354 85.921229 0.116471601809985 0.292634882204741 0.159617896224137 2.55666666666667
"37" 4.59978 28.70354 1.28898882404195 83.479923 0.0834757314480258 0.20898835392577 0.0595382264184077 11.1333333333333
"38" 5.220043 41.47107 1.2892696832915 80.696235 0.088850187632554 0.0763296760031319 0.0636971718118115 5.83
"39" 4.576058 63.51952 1.29000195755397 81.088605 0.0889923597996354 0.111381395751459 0.013205920756929 3.11333333333333
"40" 4.156075 64.94245 1.29133611642612 82.098294 0.123695048814085 0.235387008125172 0.053751161882786 2.92666666666667
"41" 5.604194 45.86141 1.29110916321429 82.17308 0.171849350682721 0.218528254577303 0.0766547265677652 15.07
"42" 5.210211 34.21024 1.28939824496249 74.242157 0.0808582992128342 0.0681307182926599 0.0596124433501921 5.56666666666667
"43" 5.506677 36.3928 1.28919621632122 74.713477 0.0966789953360257 0.0218147717843191 0.0629389234528602 3.97333333333333
"44" 4.987524 39.7383 1.28897308569241 74.521458 0.173391747087332 0.0843477846112701 0.0575904835612287 7.47333333333333
"45" 5.445985 40.64463 1.28921455049183 74.222717 0.132638117806053 0.0783570653559244 0.0642287854275503 9.71666666666667
"46" 4.803733 43.52151 1.28928852788641 74.632941 0.0921308907052078 0.119576053235829 0.0354183219271109 10.31
