"Sequence No." "V" "D" "air density" "Humidity" "I" "S_a" "S_b" "y (% relative to rated power)"
"47" 5.482955 39.9138 1.28951419895578 75.224271 0.0862909325354667 0.0584148250957583 0.00780147618968121 14.8466666666667
"48" 7.237692 46.86774 1.29060193989115 76.112365 0.111450528704454 0.0883659590462846 0.034586215583359 21.1766666666667
"49" 7.573534 50.74437 1.29135067353269 77.144072 0.0987003425349381 0.023581513996323 0.0160391282476667 19.8633333333333
"50" 8.048178 56.16331 1.2930867049079 79.266006 0.0794114643090647 0.0107204893111804 0.0372087249247338 42.62
"51" 9.568681 57.55235 1.29745930029118 83.9324 0.078729022317705 0.0348153505287191 0.0183322691720146 59.1
"52" 9.999779 59.23293 1.298918748177 85.103759 0.0612076726895664 0.0527303743185501 0.0312060684718352 63.2066666666667
"53" 10.10325 62.16199 1.29954676912008 83.960567 0.0856004157078168 0.0644164803092747 0.0529129476204266 73.4433333333333
"54" 9.518158 69.65 1.30038613306211 82.819755 0.0865359663077667 0.03254938980636 0.00112261215164147 63.1133333333333
"55" 9.7684 70.54916 1.30136602102579 81.979274 0.0894648765406822 0.0643289791626351 0.0311825783838681 53.17
"56" 9.418155 68.04404 1.30194911070392 82.342087 0.0898647028000707 0.0504039510226305 0.0319599925706729 62.6133333333333
"57" 10.08078 66.10818 1.302676247259 82.794961 0.0946232335196284 0.0207345612882593 0.00565653210978584 65.2166666666667
"58" 10.04082 64.51555 1.30300757616809 83.452746 0.0771929782627315 0.0450859742508879 0.0369326301616784 65.88
"59" 10.28311 62.44935 1.30435531218664 83.85702 0.0720021666596973 0.00100860972396745 0.0202147961678513 62.15
"60" 10.03927 64.21419 1.30417155111486 83.909982 0.0924273677269363 0.0488059253109566 0.0368882949161669 57.1333333333333
"61" 10.12025 64.62398 1.30435124276385 83.35416 0.0927440033596008 0.0486568342649537 0.0138736010022049 59.01
"62" 9.585474 64.19017 1.30401331378521 83.092906 0.0990630510290884 0.026536229172698 0.0149042791747853 63.6933333333333
"63" 9.442919 65.00738 1.30406322332439 83.064145 0.0925312924954667 0.0471713960755681 0.0168677856329177 63.78
"64" 9.960548 64.54429 1.30417524006871 81.625785 0.0721712801343862 0.0414962928497202 0.0221877458735849 61.6433333333333
"65" 8.969687 62.7161 1.30387844681766 81.308595 0.0773721981603148 0.0173610792832693 0.0244287887000033 54.8033333333333
"66" 9.254268 63.9116 1.3039214441887 80.39809 0.0946954529520865 0.0403949740067444 0.00252612126135335 52.45
"67" 9.066964 64.03037 1.30382885853034 80.139019 0.0804607253320957 0.0473155412045151 0.032984659255557 55.97
"68" 9.124143 64.61225 1.3050116152691 79.443944 0.0809584198757078 0.00424709612192824 0.0221149591148662 47.5766666666667
"69" 8.704192 64.16663 1.30386140050065 74.962628 0.101612062325831 0.0738193693804499 0.0252909718356669 47.2166666666667
"70" 8.4578 67.8535 1.30393786983416 72.35608 0.0836135874577313 0.0122592737298358 0.0194757767899695 43.28
"71" 8.003349 67.32676 1.30363122970574 70.761604 0.0980617489003666 0.000658896453054836 0.0204111392290389 32.2333333333333
"72" 7.658349 66.9734 1.304016057995 70.786599 0.0896774356979553 0.0770614743202089 0.0066140164919201 28.8866666666667
"73" 6.78584 69.12636 1.3041516050989 73.37311 0.100408777690013 0.0273593718204333 0.0105622661792437 24.4333333333333
"74" 6.543121 72.45377 1.30416782363947 73.228104 0.100029221528992 0.00621192031631423 0.00317460762204129 30.35
"75" 6.647311 62.25505 1.3062884482264 74.306824 0.0701928343656555 0.003764077810031 0.0313170797439085 20.4166666666667
"76" 6.958452 65.17107 1.30761603003051 73.100752 0.0687265788425357 0.0434180253284001 0.00541618268659732 26.0966666666667
"77" 6.954844 64.90398 1.30703786579715 72.763726 0.0666090713177751 0.0208846226835114 0.0099025374990913 26.54
"78" 7.270348 61.03998 1.30724347560868 73.837091 0.0584884657515706 0.034596139012787 0.0188562537166588 27.3333333333333
"79" 7.45345 60.76842 1.30775472563698 73.96841 0.0666563269358485 0.0576044007581417 0.010078337459215 26.7466666666667
"80" 7.473852 63.7577 1.30763274336774 73.530614 0.071198667032743 0.00337539478245878 0.00899801765264531 25.21
"81" 7.725071 62.67545 1.30771529023686 70.896891 0.0860842055691139 0.0218526397907896 0.0305344209787182 25.33
"82" 6.63897 61.5276 1.3071815095275 70.471394 0.103865659883988 0.0443297204996108 0.0165762640402497 23.1266666666667
"83" 7.107247 60.07807 1.30689876913221 70.610053 0.0886713660014912 0.0832176805995383 0.0337356818889802 25.6533333333333
"84" 7.185245 64.22964 1.3067710879331 71.933756 0.0935991048321943 0.0814313262008765 0.0482423332626865 25.32
"85" 7.047421 67.36647 1.30705990404847 70.723519 0.103649420121205 0.154655707113224 0.0193566145293797 24.9533333333333
"86" 6.723015 69.03384 1.30667765610214 69.611074 0.101153559823978 0.0878646065383141 0.0130778023502667 23.3
"87" 6.289559 68.21427 1.30665104432311 68.454791 0.0967371639251655 0.0781736247284816 0.0111452207962997 19.37
"88" 6.004112 67.12514 1.30672692262606 67.803154 0.114153183684781 0.0713708027482205 0.0249466827888093 18.1
"89" 6.226189 67.54986 1.3066571794775 66.125365 0.113373028027257 0.0990957803472568 0.00885500889661487 18.8466666666667
"90" 6.110194 66.96341 1.30706622773131 64.82963 0.10804427813585 0.0351889512870421 0.032193692030422 19.09
"91" 5.901991 68.57297 1.30653937285837 61.973538 0.097464753843237 0.0808248515452649 0.0116693907738781 14.5466666666667
"92" 5.894806 70.89783 1.30585874580617 56.749932 0.0951008396205066 0.173252785044008 0.00832913310924661 12.7533333333333
"93" 5.927173 82.74499 1.30603126804992 57.6287 0.0627485649566834 0.0360363749672175 0.00339713877219758 9.88666666666667
"94" 5.666955 86.01217 1.30620372512633 57.947277 0.0800181049611299 0.0800642845584711 0.0160158362935376 7.15333333333333
"95" 4.302608 324.6018 1.2951865569383 49.860042 0.0837807673857344 0.00988726486658353 0.0366957233890776 8.03
"96" 4.119073 1.310154 1.29457550024577 52.178757 0.177338857553629 0.0591809216168952 0.0957615083549387 2.11666666666667
"97" 4.307612 328.706 1.29449132963172 51.947262 0.115378520628135 0.00636639576924753 0.0222691894145964 3.80666666666667
"98" 4.468195 323.8857 1.29443566409676 51.732628 0.236269679367172 0.0463371586584894 0.0574089787280185 5.52
"99" 5.389158 344.9831 1.29389319690287 56.115751 0.112299620831306 0.0231736010079691 0.0375101557674828 12.6866666666667
"100" 4.270979 309.4403 1.29316061904735 56.146103 0.0971975511937661 0.0221498256153728 0.0313991240463239 7.12333333333333
"101" 5.375589 311.6033 1.29315690439403 55.517477 0.137339591996338 0.0668876885116225 0.0818608351101734 4.94666666666667
"102" 6.029406 302.3169 1.29232429519473 55.932262 0.111908652361443 0.0252952682662033 0.0405414375880301 11.6866666666667
"103" 4.828898 298.4829 1.29236169303348 55.31891 0.0863886957231236 0.110808859501727 0.0539675928264899 5.58
"104" 5.354626 300.0084 1.29129157458747 58.171432 0.108245001611691 0.0643643298266828 0.0539104322431859 4.43
"105" 5.986084 322.3108 1.29182277484539 61.97215 0.100760714350149 0.0261460647243709 0.0467707966220355 9.94
"106" 6.337612 301.4445 1.29116333004926 62.140761 0.0651888755575444 0.00744685981162945 0.0588317379940418 15.4
"107" 5.827747 299.0439 1.29136041483989 62.767999 0.164807857993835 0.0980506900076967 0.0654988715170452 8.68333333333333
"108" 6.086537 300.3286 1.29168045907829 66.013288 0.110989450980089 0.0838503339481474 0.0704951645072215 9.02666666666667
"109" 6.030352 298.4884 1.29153711923863 65.176575 0.0829425877627044 0.0560808578473941 0.0426553298207297 9.08666666666667
"110" 6.001369 304.152 1.29070241674571 64.788172 0.104580038321256 0.116993309496825 0.056376708783194 15.5
"111" 5.23212 313.025 1.29031857332228 67.656165 0.125854835133751 0.111475534971877 0.0587847311009117 11.85
"112" 6.982222 312.4629 1.29000087156449 66.504841 0.0853395953322595 0.0330541151964031 0.0707047289244575 22.1833333333333
"113" 7.30071 304.9303 1.28868934482257 65.017484 0.0785911370263988 0.0336932900685562 0.0309049148589436 26.8633333333333
"114" 6.32345 296.0271 1.29085346103876 70.42577 0.0870392902608544 0.0421285541931269 0.037480724661838 14.68
"115" 5.366431 298.2926 1.29071455558053 70.495395 0.0887978993860165 0.0652658382528856 0.0585803731052716 10.1933333333333
"116" 5.009706 297.456 1.28997520429548 71.640173 0.0889256575136345 0.16031581682826 0.0563528593255287 9.73
"117" 7.704574 300.5985 1.29010097011236 73.17633 0.120886709635082 6.32130168380886e-05 0.0600291333247743 17.1966666666667
"118" 8.904728 310.1328 1.28894878153241 73.259248 0.125980378064327 0.0806220693843834 0.0727537237894542 46.0433333333333
"119" 10.1142 310.0641 1.28843563383963 71.897456 0.0443206481975836 0.014203238170877 0.0347881433223379 59.2466666666667
"120" 9.250659 304.7385 1.28860083969092 72.293199 0.0550282309617077 0.0142719358646414 0.0480198988919744 41.1266666666667
"121" 7.905447 301.3675 1.28908425367898 74.554983 0.0821805648687544 0.0085480086249604 0.0443578800392915 36.0866666666667
"122" 9.244997 296.1654 1.29009542300709 77.1893 0.0850304873003204 0.0495369544442683 0.0394028783581705 49.1333333333333
"123" 7.839671 295.4782 1.29212043039473 79.324722 0.0780482369732097 0.0824584065902971 0.0863691479443562 22.78
"124" 8.697808 294.7512 1.29017271594261 79.02757 0.102616923712273 0.0680773201172874 0.080181364501898 32.3933333333333
"125" 8.977546 307.0114 1.28849960435372 77.230362 0.0730171474476433 0.0479350847422561 0.0639805888191131 54.07
"126" 8.388174 306.3315 1.2884083540745 75.580342 0.0388815968767458 0.00978477844439397 0.0426352925208228 37.8566666666667
"127" 8.367548 301.8331 1.28783883893268 75.11537 0.12991834644988 0.0135163430193457 0.0532358561947997 41.09
"128" 9.916023 295.2902 1.29024077566312 78.383471 0.0693904199294415 0.0159155850556267 0.0563521416616098 56.81
"129" 8.272886 295.9611 1.29048274840774 81.204849 0.0572658320204098 0.0543061097966355 0.0365791440919061 37.49
"130" 9.170335 292.2324 1.2902418902542 83.342652 0.135576290288196 0.0978591704837599 0.0567796397830778 49.93
"131" 8.735548 298.3802 1.28942385718822 83.63465 0.0644585892035623 0.11652083096804 0.0807479790434078 38.11
"132" 8.509189 310.8028 1.28804634730291 80.962046 0.121215899658593 0.0343855124883864 0.0802956778505587 41.4533333333333
"133" 8.568919 312.7061 1.28644093427378 72.333865 0.0773125875037446 0.0331322735594586 0.0570225059225805 39.7233333333333
"134" 9.794239 308.3933 1.2865103948846 72.113081 0.0620797184957402 0.0173954865218217 0.0528280687913915 55.4833333333333
"135" 9.204563 292.9538 1.28957157940239 80.683142 0.0677444545710644 0.020970763431206 0.0622022812417282 40.65
"136" 8.50943 298.3538 1.28878688010232 75.930858 0.0618821824728566 0.161229252302931 0.0818052423870472 37.1033333333333
"137" 8.834237 302.2422 1.28716608975306 74.621238 0.0805566117368144 0.0716415446725185 0.0729916290115816 37.9266666666667
"138" 8.482003 299.8702 1.28622804539692 73.988842 0.0628358183792201 0.0320519354576772 0.0294633871693809 36.81
"139" 8.860685 313.455 1.28581734492475 70.239899 0.0873813819134751 0.0644920782442319 0.08206083553265 40.94
"140" 9.704228 308.3039 1.28571848717494 65.836937 0.0624376714974133 0.0402198638538001 0.0760214743549593 37.91
"141" 10.08475 306.4033 1.28585526366441 67.322115 0.0501775353875902 0.0268734405099029 0.0621512165845899 53.0833333333333
"142" 9.349524 309.0413 1.28650525842272 66.211258 0.0694646593773116 0.0308821208668369 0.0590302140869902 40.38
"143" 8.469444 302.5095 1.28637606078759 64.268647 0.0674684076073943 0.00262643214684053 0.0484545289549091 32.2766666666667
"144" 8.086961 302.7892 1.28636012475948 63.737618 0.0622953789439568 0.0405123988238694 0.0368893348945934 34.2766666666667
"145" 7.261927 300.6843 1.28654345816884 62.913005 0.106065167000439 0.0306199924525849 0.0469284326730051 24.9733333333333
"146" 7.236345 303.6514 1.28605658052667 64.337679 0.0890626137919074 0.031715787259257 0.0623802423135194 24.9433333333333
"147" 8.928258 313.7552 1.28582614608723 66.733558 0.0804146004741351 0.0308521226012053 0.048259735536188 48.46
"148" 8.141429 318.2418 1.28625520011435 68.832482 0.0587365559535064 0.0497128240395223 0.0819715575481748 24.36
"149" 9.28726 308.9639 1.28613133577354 69.790795 0.123831248398344 0.0389509269339371 0.0587319876082293 39.12
"150" 9.348 300.0556 1.28702655561119 71.900828 0.0708064505776637 0.0212887675912933 0.0738845854135366 46.9166666666667
"151" 10.05341 304.3494 1.28725022330251 71.145049 0.0666096976050912 0.0146993498667831 0.0678308590895977 57.5066666666667
"152" 9.387392 309.3094 1.2867443470518 68.879298 0.0596872592515578 0.0220781592455317 0.0583746322237923 51.55
"153" 9.00462 305.8935 1.28602483872198 67.160246 0.066086531136239 0.0200607765460217 0.0710678133073438 46.24
"154" 9.364793 304.8889 1.28594824003645 66.810923 0.0632123956183548 0.029964212918057 0.0580944406200654 43.9233333333333
"155" 9.332009 298.5615 1.28634804682056 69.667807 0.102921878879457 0.0226156113104593 0.0514825017855054 50.7333333333333
"156" 10.40347 285.8812 1.28777148412258 68.189773 0.0550065314745945 0.030136336389526 0.0610865598695598 67.8166666666667
"157" 10.65462 285.9668 1.28788257657364 67.528219 0.0751982614114816 0.0184049869235082 0.0663751497239506 68.6
"158" 10.30181 286.4524 1.28819841471928 66.458821 0.0561757399913219 0.0425160178860084 0.037287831043724 72.1566666666667
"159" 10.17412 290.2271 1.28802611787778 66.485997 0.0439748302555897 0.00408615262469472 0.0389562010721347 58.5833333333333
"160" 11.29811 292.31 1.28989022540623 68.111617 0.0470028261364069 0.000695561268797316 0.0622302139359355 80.2733333333333
"161" 10.62012 289.9922 1.29015477271392 66.494725 0.056904375845094 0.000352306546330013 0.0495462634339568 68.6166666666667
"162" 10.48931 296.4192 1.29019500013918 65.395175 0.0930293603678412 0.0309305787416221 0.0642573676532753 71.9933333333333
"163" 10.73665 283.6444 1.29084481191483 67.271531 0.103865078958521 0.0240009591238093 0.059551446220968 69.85
"164" 10.53946 278.9194 1.29026345862613 67.841242 0.0536844582170244 0.0338468016206276 0.0396097040297275 72.3166666666667
"165" 11.05347 275.0281 1.29124824038671 68.652366 0.0634080157633757 0.00746925502470558 0.0472106000225047 73.0133333333333
"166" 9.423961 276.923 1.29070774262676 69.714822 0.0785866792105782 0.0125369157362771 0.0527254795449624 58.87
"167" 9.703281 277.6819 1.2899290729889 69.353594 0.0700988253354716 0.0285173088999315 0.0556800194591675 56.9166666666667
"168" 9.581721 280.9479 1.28937005382823 69.460315 0.0604271612584002 0.0187974773806811 0.0525352871587811 52.4566666666667
"169" 8.348253 277.0903 1.2885354978832 68.79043 0.0685158918877998 0.0128518124871596 0.0417297999784864 35.7133333333333
"170" 9.880673 276.4288 1.28768534540027 71.9893 0.078984326270083 0.0096941457344036 0.049568472985884 60.5
"171" 9.506145 281.8756 1.28745458326821 73.368151 0.0551006427947396 0.0143018407358676 0.0566302201380591 54.5333333333333
"172" 9.62376 282.4102 1.28640023955448 72.788324 0.0628199373217952 0.00808585375572914 0.0445923170212326 55.3466666666667
"173" 9.754911 282.0088 1.28641519527835 70.59438 0.0621283577061851 0.0267446221808833 0.0541575630935802 57.6666666666667
"174" 10.76536 283.1383 1.28612475924889 72.462406 0.0448450028610283 0.000568191294812018 0.0625592308115084 63.04
"175" 10.82833 286.3001 1.28616856461043 73.775399 0.0495549082822559 0.0133132517423142 0.0424809304303737 72.1766666666667
"176" 10.84716 284.3297 1.28621088607836 74.712485 0.0468741311089723 0.0311310053818916 0.0624903909717396 79.0066666666667
"177" 10.8016 279.9634 1.28537086814574 76.198851 0.0629301862687009 0.000481994148741968 0.0352035629995436 75.9766666666667
"178" 11.80029 279.8713 1.28597511775463 79.095411 0.0553611479039922 0.00769775765397856 0.0552852434549447 87.6
"179" 11.48432 277.911 1.28620339416793 79.185866 0.0453200799002466 0.017272426183427 0.053247529949565 79.9533333333333
"180" 11.41816 278.5507 1.28602174840632 79.17317 0.0440960627631773 0.0128620160265551 0.0437375423556647 84.69
"181" 11.50227 274.9666 1.28583975273302 80.366745 0.0442583681308124 0.0481318028304637 0.0521899856479861 78.1233333333333
"182" 11.51813 275.7149 1.28646960077793 80.578802 0.0518077153148992 0.00923971933313304 0.0397022527756568 82.3733333333333
"183" 11.28962 274.515 1.2852700494151 81.68926 0.0604624070606451 0.0302223647016643 0.0510509568435173 83.1
"184" 11.04573 274.8326 1.28493600642529 82.353989 0.067600937194735 0.0257391660725508 0.061789297355846 83.19
"185" 11.12285 276.1436 1.28479994300779 83.442036 0.048353821187915 0.0455307344885146 0.0601146877551549 82.6066666666667
"186" 11.64609 273.3087 1.28541493405477 84.762566 0.03951871400616 0.0198966899962649 0.0434284824726119 77.73
"187" 10.48831 272.9021 1.28495848832024 85.556233 0.0749542872016559 0.047874340962091 0.0516346317417677 73.2633333333333
"188" 10.98995 278.3026 1.28386937640115 84.234114 0.0689573655931101 0.0207930869124249 0.0455842409682079 76.5333333333333
"189" 10.8426 281.5407 1.28365137808746 83.453738 0.0664281814324977 0.0114757631412344 0.0579357436899854 77.8833333333333
"190" 10.93643 275.4458 1.2831538403734 84.560034 0.060636761722061 0.0297004231206672 0.0611093946789185 77.6233333333333
"191" 11.59018 277.6946 1.2826084481641 83.288498 0.052691916777824 0.0191803260578893 0.0492622570322592 86.87
"192" 11.38679 280.5388 1.28192556338003 82.949488 0.0496675709308769 0.0448781008227166 0.0748157710168828 85.2533333333333
"193" 10.99021 283.9887 1.2819204489472 84.32338 0.0586841561717201 0.0124394476969748 0.0606097005112097 82.07
"194" 11.00198 283.3228 1.28173897118652 85.091857 0.0685944166413682 0.0419314496810909 0.0662714914269641 72.9733333333333
"195" 11.57328 292.5006 1.28159225366666 82.436906 0.050512706855792 0.0167789634677455 0.0712663430504026 73.1033333333333
"196" 10.92592 286.0859 1.2816634941843 82.048502 0.0595367804267284 0.0505732339025485 0.0619243885382496 74
"197" 11.54428 287.0257 1.27962698524937 80.677588 0.0618380098195816 0.0177848694882782 0.0773629469308405 71.8
"198" 11.15621 294.3419 1.27987316852661 82.500384 0.0509536123826999 0.0408936892878355 0.0633980141154514 75.4433333333333
"199" 11.11964 291.7275 1.28083015825452 83.572561 0.0612068646107248 0.0368351125043158 0.0901573063239505 76.7266666666667
"200" 11.23222 290.281 1.28167239128982 84.391817 0.0476326585483546 0.0445409873142664 0.0792801326098916 75.63
"201" 10.82509 287.6015 1.28097992285273 84.835169 0.0532731275213416 0.0846083151702287 0.0813219552153597 77.67
"202" 10.92137 286.6762 1.28066499455217 85.140058 0.0612391302556364 0.0212709237148874 0.0444523868729466 72.42
"203" 10.53401 287.0236 1.28003693508323 84.574512 0.058118057605793 0.0727357282738648 0.060207632029251 73.06
"204" 11.17711 293.7902 1.27953865289829 82.428774 0.0620130427275029 0.0710966267485945 0.0677020632917584 82.48
"205" 11.72531 299.1544 1.27850225074138 78.256714 0.0757601717992957 0.0268067785934675 0.0731795518159495 85.69
"206" 11.8908 294.4248 1.27878097410011 78.066082 0.0531660527466613 0.00674343348468774 0.0714400418201062 80.6966666666667
"207" 11.659 292.4611 1.2789061036302 78.472735 0.0532851187923493 0.0370603105878753 0.0763374546687246 76.1833333333333
"208" 11.36563 294.8518 1.27839953751516 78.360262 0.0531378023039638 0.0200006335913509 0.0675136296882774 71.8533333333333
"209" 11.3811 293.983 1.27840910354757 77.456698 0.0518958887980951 0.0334462167332527 0.0638922739699706 67.5866666666667
"210" 11.7819 294.5237 1.27879331404223 77.115507 0.0610226279292813 0.0377937159033647 0.0680270554428536 75.4766666666667
"211" 11.6405 293.7248 1.2783210341833 77.052623 0.0658967741935484 0.0452577062116248 0.068229939764339 79.1533333333333
"212" 12.18116 290.5641 1.27759095647989 76.656685 0.0422624199994089 0.00392774540141725 0.0734532799226903 72.8433333333333
"213" 11.6043 295.1645 1.2774291598642 77.001841 0.0656047585808709 0.0257443490873541 0.0689136118775152 76.4666666666667
"214" 11.57777 291.7055 1.27755153088938 77.406312 0.0634363525963981 0.0371903524653738 0.0791824369178518 82.56
"215" 11.41579 291.161 1.27743840088527 78.291627 0.0690249032261455 0.0361606215660401 0.0881504947630999 83.5533333333333
"216" 11.64393 292.049 1.27772909372613 79.65223 0.0494092372592415 0.0340282872384723 0.0724906627571076 79.61
"217" 11.67966 292.0513 1.27773772720879 79.83532 0.061642325204672 0.0112708221075241 0.0807449316154256 79.9733333333333
"218" 11.49821 292.3644 1.27752741642551 80.635931 0.0724959102329841 0.0188930251176991 0.0843127313463717 81.3633333333333
"219" 11.4952 288.4725 1.27748169261874 81.6724 0.0555186164660032 0.0312479210435042 0.0608788316347801 83.3133333333333
"220" 11.67775 285.4354 1.27798581463323 82.43076 0.0500247650446362 0.0158828917332404 0.057260399669058 82.2833333333333
"221" 11.65434 286.8204 1.27783866771557 82.646184 0.0473125376469195 0.0310068339974577 0.0700616406784058 80.2333333333333
"222" 10.84364 286.1245 1.27704835832843 83.429736 0.0526775879686157 0.052330639971513 0.0553051788790028 80.1
"223" 11.65132 287.0757 1.27773760809608 82.530338 0.0490876741862725 0.0408532515445538 0.0815596854312157 81.7366666666667
"224" 11.25896 284.6253 1.27716312410809 83.13437 0.0621882038838401 0.0585795283720345 0.0731094839689983 79.58
"225" 11.40596 284.7456 1.27662557945204 82.929848 0.056393157612336 0.0369804548320346 0.063215384227766 78.57
"226" 11.73966 286.3344 1.27668966033817 82.84138 0.0581341367637564 0.0285653222221147 0.0730968631389671 83.8733333333333
"227" 11.74148 285.3494 1.27641595433967 82.884623 0.0548427540650753 0.020211586211415 0.0476685196915593 84.06
"228" 11.95037 286.8391 1.27617197069741 83.134764 0.0486024282093358 0.0432593288445123 0.0635291430205566 88.3266666666667
"229" 11.86235 284.8559 1.27629123409151 83.033991 0.0546949466168171 0.0352408556454566 0.0536959894628329 79.2233333333333
"230" 12.00493 285.517 1.27613244846948 83.614614 0.0410494605133058 0.00102717093978931 0.0553172048591622 85.5166666666667
"231" 11.87356 283.8201 1.27619659861892 83.637229 0.0438957650443506 0.0287648475572896 0.0684942641332209 84.1366666666667
"232" 11.79522 286.6247 1.27634898217093 83.410494 0.0513584401138766 0.0242163748016883 0.0523601251896214 83.95
